FALSE,pair_id,topic,tagabawa,cebuano,filipino,english,,notes
FALSE,P280,emotions,ringasa,kapungut,naiinis,rage,,
FALSE,P281,emotions,ringasa,kapungut,naiinis,hatred,,
FALSE,P282,emotions,sarukur,kahingawa,balisa,distress,,auto-split from slash values
FALSE,P283,emotions,sarukur,kahingawa,balisa,restless with anxiety,,auto-split from slash values
FALSE,P284,emotions,sókó,kasuko,galit,anger,,expressed
FALSE,P285,emotions,tana,kabalaka,nag-aalala,worry,,manual check: slash values
FALSE,P286,emotions,tana,kabalaka,nag-aalala,tension,,
FALSE,P287,emotions,tana,kabalaka,nag-aalala,anxiety,,
FALSE,P288,,Ágriyun ka panámdám,Bation sa hunahuna,Pag-iisip,Thinking,,
FALSE,P289,,Ágriyun ka panámdám,maghinumdum,Pag-iisip,Thinking,,
FALSE,P290,thinking,panámdám,hunahuna,isip,thoughts,,auto-split from slash values
FALSE,P291,thinking,ágpanámdám,naghunahuna,nag-iisip,thinking,,auto-split from slash values
FALSE,P292,thinking,ágsampát,maghinumdum,isipin,remember,,auto-split from slash values
FALSE,P293,thinking,kasampáttan,maghinumdum,naalaala,remembrance,,auto-split from slash values
FALSE,P294,thinking,ágkataláng,nalibug,nalilito,confused,,
FALSE,P295,thinking,kagpáttan,pagsabot,pag-intindi,understanding,,auto-split from slash values
FALSE,P296,thinking,kagpáttan,pagsabot,pang-unawa,comprehension,,auto-split from slash values
FALSE,P297,thinking,kakatigan,kahibalo,kaalaman,knowledge,,manual check: slash values
FALSE,P298,thinking,kakatigan,kahibalo,kaalaman,skill,,
FALSE,P299,thinking,kakatigan,kahibalo,kaalaman,ability,,
FALSE,P300,thinking,kéman,kaingon,akala,supposed,,auto-split from slash values
FALSE,P301,thinking,kéman,kaingon,akala,assumed,,auto-split from slash values
FALSE,P302,thinking,ágkatággasan ginagpát,galisod pagsabot,nahihirapan umintindi,difficulty in comprehending,,
FALSE,P303,,Ágriyun,Gibati,Damdamin,Feeling / Sensing,,
FALSE,P304,feeling_sensing,Ágkabógókan ka?,Nagsakit ka?,May sakit ka ba?,Are you sick?,,
FALSE,P305,feeling_sensing,Ágkabógókanna,Nagsakit ko,May sakit ako,I'm sick,,
FALSE,P306,feeling_sensing,Pahà ka tut duktur,Magpatan-aw ka sa doktor,Magpatingin ka sa doktor,Go to the doctor,,
FALSE,P307,feeling_sensing,Sadan dukturiyé madigár?,Kinsang doktora ang maayo?,Sino ang mahusay na doktor?,Which doctor is a good one?,,
FALSE,P308,feeling_sensing,"Si duktur ____, su délák dád ég bayadan","Si doktor ____, kay gamay lang ang bayaran","Si doktor ____, dahil mura siyang sumingil","Doctor ____, because he charges less",,
FALSE,P309,feeling_sensing,Ándin ég riyun nu?,Unsa ang imong gibati?,Anong pakiramdam mo?,How do you feel?,,
FALSE,P310,feeling_sensing,Masakitté ulu ku,Sakit ang akong ulo,Masakit ang ulo ko,I have a headache,,
FALSE,P311,feeling_sensing,Iginutà a dukilám,Nagsuka ko gabii,Nagsuka ako kagabi,I vomited last night,,
FALSE,P312,feeling_sensing,Ágkabalóyónna asta ménitté lawa ku,Nalipong ko ug naay hilanat,Nahihilo ako at may lagnat,I feel dizzy and have a fever,,
FALSE,P313,feeling_sensing,Duwán basì karukung ku,Siguro morag naa koy malarya,May malarya yata ako,I may have malaria,,auto-split from slash values
FALSE,P314,feeling_sensing,Ágkagánnawanna,Siguro morag naa koy malarya,May malarya yata ako,I may have malaria,,auto-split from slash values
FALSE,P315,feeling_sensing,Tádduan kus kuna kani bawì,Tudloan ta ka mahitungod niining tambal,Ituturo ko sa iyo ang pag-inom ng gamot na ito,I'll teach you how to take this medicine,,
FALSE,P316,feeling_sensing,Indiksyunan kus kuna,Indyiksiyonan ta ka,Iiniksiyunan kita,I'll give you an injection,,
FALSE,P317,feeling_sensing,Inám nu ni bawì ni kada malássáddé álló,Imnon nimo kining tambala kada udto,Inumin mo ang gamot na ito tuwing tanghali,Take this medicine every day at noon,,
FALSE,P318,feeling_sensing,"Inám nu ni bawì ni kada sállám, malássáddé álló, asta mapun; makatállu sábbad álló","Imna ning tambala kada buntag, udto, ug hapon; makatulo sa usa ka adlaw","Inumin mo ang gamot na ito tuwing umaga, tanghali, at hapon; tatlong beses isang araw","Take this medicine every morning, noon and afternoon; three times a day",,
FALSE,P319,feeling_sensing,ágballusán,gigutum,nagugutom,hungry,,
FALSE,P320,feeling_sensing,ágkabalóyón,malipung,nahihilo,dizzy,,
FALSE,P321,feeling_sensing,ágkabággatan,gibug-atan,nabibigatan,burdened,,
FALSE,P322,feeling_sensing,ágkabállé,gikapoy,napapagod,tired,,auto-split from slash values
FALSE,P323,feeling_sensing,ágkabállé,gikapoy,napapagod,fatigued,,auto-split from slash values
FALSE,P324,feeling_sensing,ágkabingál,mabungol,nabibingi,deafening,,
FALSE,P325,feeling_sensing,ágkagánnawan,gitugnaw,nilalamig,feeling chilly,,
FALSE,P326,feeling_sensing,ágkagáttasan,gikutasan,hinihingal,out of breath,,auto-split from slash values
FALSE,P327,feeling_sensing,ágkagáttasan,gihangak,hinihingal,out of breath,,auto-split from slash values
FALSE,P328,feeling_sensing,ágkagirákkan,nagilokan,nakiliti,ticklish,,
FALSE,P329,feeling_sensing,ágkatudugan,katulgon,inaantok,sleepy,,
FALSE,P330,feeling_sensing,ágkáddukáddu,pitikpitik,pumipitik,throbbing,,
FALSE,P331,feeling_sensing,ágkárkárrán,nagakurog,nanginginig,trembling with chills,,
FALSE,P332,feeling_sensing,makkatál,katol,makati,itchy,,
FALSE,P333,feeling_sensing,malómét,galuya,mahina,physically weak,,
FALSE,P334,feeling_sensing,mangilu,ngilu,kinikilig,tingling sensation,,in teeth / spine; auto-split from slash values
FALSE,P335,feeling_sensing,mangilu,ngilu,ngilo,tingling sensation,,in teeth / spine; auto-split from slash values
FALSE,P336,feeling_sensing,mapáddì,hapdos,mahapdi,stinging,,
FALSE,P337,feeling_sensing,masakit,sakit,masakit,painful,,
FALSE,P338,feeling_sensing,ménit,giigangan,naiinitan,hot,,auto-split from slash values
FALSE,P339,feeling_sensing,ágkénitan,giigangan,naiinitan,hot,,auto-split from slash values
FALSE,P340,feeling_sensing,mitákkangan,giuhaw,nauuhaw,thirsty,,
FALSE,P341,feeling_sensing,pakénótà,kasukahon,nasusuka,nauseated,,
FALSE,P342,,Mga bógók,Mga Sakit,Mga Sakit,Sicknesses ,,
FALSE,P343,,Mga bógók,Mga Sakit,Mga Sakit,Illnesses,,
FALSE,P344,sicknesses_illnesses,abas,tipdas,tigdas,measles,,
FALSE,P345,sicknesses_illnesses,amù,samad,sugat,wound,,
FALSE,P346,sicknesses_illnesses,ágbuhaán,giubo,umuubo,coughing,,auto-split from slash values
FALSE,P347,sicknesses_illnesses,ágbuhaán,giubo,umuubo,cough,,auto-split from slash values
FALSE,P348,sicknesses_illnesses,ágkabuhián,gikabuhi,sinikmura,hyper-acidity,,manual check: slash values
FALSE,P349,sicknesses_illnesses,ágkabuhián,gikabuhi,sinikmura, abdominal pain,,
FALSE,P350,sicknesses_illnesses,ágkabuhián,gikabuhi,sinikmura,heartburn,,
FALSE,P351,sicknesses_illnesses,ágkappuk,hubak,hika,asthma,,auto-split from slash values
FALSE,P352,sicknesses_illnesses,yákyák,hubak,hika,asthma,,auto-split from slash values
FALSE,P353,sicknesses_illnesses,ágkénit,kalintura,lagnat,feverish,,auto-split from slash values
FALSE,P354,sicknesses_illnesses,ménit é lawa,kalintura,lagnat,fever,,auto-split from slash values
FALSE,P355,sicknesses_illnesses,ágtabákkán,gasakit ang kutokuto,masakit ang sikmura,gastric pain,,auto-split from slash values
FALSE,P356,sicknesses_illnesses,ágtabákkán,suul,masakit ang sikmura,extreme hunger pain,,auto-split from slash values
FALSE,P357,sicknesses_illnesses,bitánnù,sip-on,sipon,nasal mucus ,,manual check: slash values
FALSE,P358,sicknesses_illnesses,bitánnù,sip-on,sipon,runny nose,,
FALSE,P359,sicknesses_illnesses,bóngô,bungog,luga,ear infection,,
FALSE,P360,sicknesses_illnesses,buggis,bun-i,buni,ringworm,,tinea
FALSE,P361,sicknesses_illnesses,busuwak,pangagud,alipunga,athlete's foot,,
FALSE,P362,sicknesses_illnesses,giláb ka dipanug,tisis,tibi,tuberculosis,,auto-split from slash values
FALSE,P363,sicknesses_illnesses,tibi,tibi,tibi,TB,,auto-split from slash values
FALSE,P364,sicknesses_illnesses,gindás ka wayig,kalibanga,pagtatae,diarrhea,,
FALSE,P365,sicknesses_illnesses,hay blad,hay blad,mataas ang dogo,high blood pressure,,auto-split from slash values
FALSE,P366,sicknesses_illnesses,hay blad,high blood,high blood,high blood pressure,,auto-split from slash values
FALSE,P367,sicknesses_illnesses,katál,kurikung,galis,scabies,,
FALSE,P368,sicknesses_illnesses,lapa,paso,paso,burn,,
FALSE,P369,sicknesses_illnesses,masakit é mga laluwadan,reyuma,reuma,rheumatism,,auto-split from slash values
FALSE,P370,sicknesses_illnesses,masakit é mga laluwadan,panghuboy sa lutahan,reuma,arthritis,,auto-split from slash values
FALSE,P371,sicknesses_illnesses,masakit é ngipán,sakit ang ngipon,masakit ang ngipin,toothache,,
FALSE,P372,sicknesses_illnesses,masakit é ulu,labad ang ulo,sakit ng ulo,headache,,
FALSE,P373,sicknesses_illnesses,pamánnus,bugas,bugas,acne,,auto-split from slash values
FALSE,P374,sicknesses_illnesses,pamánnus,bugas,tagihawat,pimples,,auto-split from slash values
FALSE,P375,sicknesses_illnesses,pamutì,ap-ap,an-an,tinea versicolor,,fungus skin disease
FALSE,P376,sicknesses_illnesses,pigsa,hubag,pigsa,a boil,,auto-split from slash values
FALSE,P377,sicknesses_illnesses,bakukang,bakukang,pigsa,skin ulcer,,auto-split from slash values
FALSE,P378,sicknesses_illnesses,rarù,nuka,sugat,sore,,
FALSE,P379,sicknesses_illnesses,téték,sanla,ketong,leprosy,,
FALSE,P380,sicknesses_illnesses,ugahip,ugahip,ugahip,impetigo,,
FALSE,P381,,Tô lawa ka manubù,Parti sa lawas,Bahagi ng katawan,The body,,
FALSE,P382,body,abul,tuhod,tuhod,knee,,
FALSE,P383,body,alig,liog,leeg,neck,,
FALSE,P384,body,até,atay,atay,liver,,
FALSE,P385,body,awak,hawak,baywang,waist,,
FALSE,P386,body,ákkud,unod,laman,flesh,,
FALSE,P387,body,babbà,baba,bibig,mouth,,
FALSE,P388,body,bagà,baga,baga,lungs,,
FALSE,P389,body,bahà,suwang,baba,chin,,
FALSE,P390,body,bakaráng,tutunlan,lalamunan,throat,,
FALSE,P391,body,barasu,braso,braso,upper arm,,
FALSE,P392,body,bállad,bukton,braso,arm,,auto-split from slash values
FALSE,P393,body,bállad,kamut,kamay,hand,,auto-split from slash values
FALSE,P394,body,báttuk,nawong,mukha,face,,
FALSE,P395,body,bibig,wait,labi,lips,,
FALSE,P396,body,bókkóg,likud,likod,back,,
FALSE,P397,body,bubun,paa,hita,thigh,,
FALSE,P398,body,bukád,agtang,noo,forehead,,
FALSE,P399,body,dilà,dila,dila,tongue,,
FALSE,P400,body,dipanug,dugo,dugo,blood,,
FALSE,P401,body,gátták,tiyan,tiyan,abdomen,,
FALSE,P402,body,gusuk,gusok,tadyang,rib,,
FALSE,P403,body,idung,ilong,ilong,nose,,
FALSE,P404,body,ità,bugan,singit,groin,,
FALSE,P405,body,kagpa,dughan,dibdib,chest,,
FALSE,P406,body,káddár,lukunlukun,alakala kan,back of the knee,,auto-split from slash values
FALSE,P407,body,káddál,lukunlukun,alakala kan,back of the knee,,auto-split from slash values
FALSE,P408,body,kindal,panit,balat,skin,,
FALSE,P409,body,kiré,kilay,kilay,eyebrows,,
FALSE,P410,body,kumáng,kumo,kamao,fist,,
FALSE,P411,body,lawa,lawas,katawan,body,,
FALSE,P412,body,mata,mata,mata,eye,,
FALSE,P413,body,ngipán,ngipon,ngipin,teeth,,
FALSE,P414,body,ngumál,lagus,gilagid,gums,,
FALSE,P415,body,paa,tiil,paa,feet,,
FALSE,P416,body,palu,tikud,sakong,heel,,
FALSE,P417,body,palad,palad,palad,palm of hand,,
FALSE,P418,body,palad ta paa,lapalapa,talampakan,sole of the foot,,
FALSE,P419,body,pangintubungan,abaga,balikat,shoulder,,
FALSE,P420,body,pállà,iluk,kilikili,armpit,,
FALSE,P421,body,pirákpirák,pilok,pilik mata,eyelashes,,auto-split from slash values
FALSE,P422,body,pilákpilák,pilok,pilik mata,eyelashes,,auto-split from slash values
FALSE,P423,body,puruwé,alimpulu,bumbunan,crown of head,,
FALSE,P424,body,pusád,pusod,pusod,navel,,
FALSE,P425,body,pusángngi,aping,pisngi,cheek,,
FALSE,P426,body,pusù,batiis,binti,calf of leg,,
FALSE,P427,body,pusung,kasingkasing,puso,heart,,
FALSE,P428,body,saklà,alingagngag,tilatilaukan,uvula,,
FALSE,P429,body,sáppián,bat-ang,balakang,hips,,
FALSE,P430,body,siku,siko,siko,elbow,,
FALSE,P431,body,simud,simud,labi,upper lip,,
FALSE,P432,body,sulu,koko,kuko,fingernail,,auto-split from slash values
FALSE,P433,body,sulu,koko,kuko,toenail,,auto-split from slash values
FALSE,P434,body,susu,totoy,susu,breast,,
FALSE,P435,body,taklayan,pangunahan'g bukton,braso,forearm,,
FALSE,P436,body,talimbakalán,kumagko,hinlalaki,thumb,,
FALSE,P437,body,talinga,dalunggan,tainga,ear,,
FALSE,P438,body,tángngál,tangkugo,batuk,back of the neck,,
FALSE,P439,body,tintudù,tudlo,daliri,finger,,
FALSE,P440,body,tintuduk paa,tudlo sa tiil,daliri ng paa,toe,,
FALSE,P441,body,tullan,bukog,buto,bone,,
FALSE,P442,body,tuwétuwé,tuwaytuway,bayugù ng tuhud,kneecap,,
FALSE,P443,body,ugat,ugat,ugat,vein ,,"general body structure; also refers to artery, muscle, nerve"
FALSE,P444,body,ulu,ulo,ulo,head,,
FALSE,P445,body,ulu,buhok,buhok,hair,,auto-split from slash values
FALSE,P446,body,silag kólu,buhok,buhok,strand of hair,,auto-split from slash values
FALSE,P447,body,uttó,kalimutaw,balintataw,pupil of eye,,
FALSE,P448,,Gistudyu katô kinagiyan,Pagtoon sa pinulungan,Pag-aaral ng wika,Language learning,,
FALSE,P449,language_learning,Katig kag kagi ka Tinagalog?,Kahibalo ka ba magsulti ug Tagalog?,Marunong ka bang magsalita ng Tagalog?,Can you speak Tagalog?,,
FALSE,P450,language_learning,Katig kag kagi ka Binisayà?,Kahibalo ka ba magsulti ug Bisaya?,Marunong ka bang magsalita ng Bisaya?,Can you speak Visayan?,,
FALSE,P451,language_learning,Délák dád ég kagpáttan ku,Gamay lang ang akong masabtan,Kaunti lang ang naiintindihan ko,I can only understand a little,,
FALSE,P452,language_learning,Pakakagiyad délák,Makasulti na ko ug gamay,Nakapagsasalita ako ng kaunti,I can speak it a little,,
FALSE,P453,language_learning,Kalyag ku kumatigga katô kinagiyan yu,Gusto kong makahibalo sa inyong pinulungan,Nais kung matuto ng inyong salita,I would like to learn your language,,plural
FALSE,P454,language_learning,Makatáddù ka kanak katô kinagiyan yu?,Makatudlo ka ba sa akoa sa inyong pinulungan?,Maari bang turuan mo ako ng inyong salita?,Can you teach me your language?,,plural
FALSE,P455,language_learning,"Tut kinagiyan yu, mánnun nu ka kakagi kani ",Unsaon nimo pagsulti niini sa inyong pinulungan,Sa inyong salita paano mo sasabihin ang ,In your language how do you say ,,plural
FALSE,P456,language_learning,"Tut kinagiyan yu, ándinné ngadan kani?",Unsay ngalan niini sa inyong pinulungan?,Anong tawag nito sa inyong salita?,In your language what is the name for this?,,plural
FALSE,P457,language_learning,Ándinné kóbadan kanan?,Unsay kahulugan niini?,Anong ibig sabihin nito?,What does that mean?,,
FALSE,P458,language_learning,Ikagpát ka katô igkagi ku?,Nakasabot ka ba sa akong gisulti?,Naintindihan mo ba ang sinabi ko?,Did you understand what I am saying?,,
FALSE,P459,language_learning,Ándà a ikagpát,Wala ko makasabot,Hindi ko po naintindihan,I did not understand,,
FALSE,P460,language_learning,Diya pakagpát,Di ko kasabot,Hindi ko maunawaan,I do not understand,,
FALSE,P461,language_learning,"Ka mému dád, uman nu yan","Kung mahimu, usba na","Kung maaari, pakiulit nga yon","If you would, please repeat that",,
FALSE,P462,language_learning,Lagénut nu dád kag kagi ka,Hinayhinay lang pagsulti,Magsalita ka ng dahandahan,Speak more slowly,,
FALSE,P463,language_learning,Katig kad ágkagi ka Ininglis,Kahibalo ka na mosulti ug Iningles,Marunong ka ng magsalita ng Ingles,You know how to speak English,,
FALSE,P464,language_learning,Dì madigár tô kakagi ku,Dili maayo ang akong pagsulti,Hindi maayos ang aking pagsasalita,My speaking is not correct,,
FALSE,P465,language_learning,Gistudyuwa pô gó ka mánnun ka kakagi ka Tagabawà,Nagtoon pa ko'g unsaon pagsulti ug Tagabawa,Nag-aaral pa lamang akong magsalita ng Tagabawa,I am still learning how to speak Tagabawa,,
FALSE,P466,language_learning,Pakakagiyad sagpu ka Tagabawà,Makasulti nakog gamay'ng Tagabawa,Nakapagsasalita na ako ng kaunting Tagabawa,I know how to speak a little Tagabawa,,
FALSE,P467,language_learning,Tóngkô a ka kinagiyak Tagabawà,Istoryahi ko ug pinulungang Tagabawa,Kausapin mo ako ng wikang Tagabawa,Speak with me in the Tagabawa language,,
FALSE,P468,language_learning,Ágkadigárranna kumatig ka kinagiyak Tagabawà,Gusto ko makahibalo sa pinulungang Tagabawa,Gusto kung matuto ng wikang Tagabawa,I want to learn the Tagabawa language,,
FALSE,P469,language_learning,Nángngawù?,Insakto ba?,Tama ba?,Is that correct?,,
FALSE,P470,,Kasulat,Pagsulat,Pangliham,Writing,,
FALSE,P471,,Kabaták,Pagsulat,Pangliham,Writing,,
FALSE,P472,writing,Mállássa ka bólpin nu dógó dád?,Mohulam ko sa imong bolpen kadali lang?,Pahiram nga po ng bolpen mo sandali?,May I borrow your pen for a minute?,,
FALSE,P473,writing,Papidda ka sulat tut innà ku,Magpadala ko ug sulat sa akong inahan,Magpapadala ako ng sulat sa nanay ko,I'll send a letter to my mother,,
FALSE,P474,writing,"Ágkailanganna ka papil, silyu asta subri","Kinahanglan ko'g papel, selyo ug sobre","Kailangan ko ang papel, selyo, at sobre","I need paper, stamps, and an envelope",,
FALSE,P475,writing,Pérma ka kannun.,Magpirma ka diri,Lagdaan mo dito,Sign your name here,,auto-split from slash values
FALSE,P476,writing,Baták nu tô ngadan nu kannun,Magpirma ka diri,Lagdaan mo dito,Sign your name here,,auto-split from slash values
FALSE,P477,writing,Pid nu ni sulat ni tut munisipyu,Dad-a ning sulat didto sa munisipyo,Dalhin mo ang sulat na ito sa tanggapan ng koreo,Take this letter to the post office,,
FALSE,P478,writing,Málliya ka duwa abuk silyu tagkinsi asta sábbaddé tagsaysinta,Mopalit ko ug duha kabook selyo nga tagkinse ug usa kabook tag saysenta,Pagbilhan mo ako ng dalawang selyong tig-kikinse at isang selyong tig-sisisenta,Sell me two 15-centavo stamps and one 60-centavo stamp,,
FALSE,P479,writing,Ánda ké makapapid ka tiligrama?,Asa kami makapadala ug telegrama?,Saan kami maaaring magpadala ng telegrama?,Where can we send a telegram?,,
FALSE,P480,,Góméng asta ágkan,Naglung-ag ug nagkaon,Paglulutò at kumain,Cooking and eating,,
FALSE,P481,cooking_eating,Ándin yan áglumun nu?,Unsa ang imong gibuhat?,Anong ginagawa mo?,What are you doing?,,
FALSE,P482,cooking_eating,Góméngnga ka pamahaw dé,Naglung-ag ko sa among pamahaw,Nagluluto ako ng aming almusal,I'm cooking our breakfast,,exc
FALSE,P483,cooking_eating,Ándin tóg lutuán nu?,Unsa ang imong gilung-ag?,Anong niluluto mo?,What are you cooking?,,
FALSE,P484,cooking_eating,Áglutù a dád man ka pariyà ágbaláttan ka tállug,Nagluto na lang ko ug paliya gisagulan ug itlog,Nagluluto lang ako ng ampalaya na may itlog,I'm just cooking ampalaya with eggs,,
FALSE,P485,cooking_eating,Ágkadigárran ka kuman ka gulay badak?,Gusto ka bang mokaon ug gulay nga nangka?,Gusto mo bang kumain ng gulay na langka?,Do you like to eat jackfruit as a cooked vegetable?,,
FALSE,P486,cooking_eating,"Óó, ágkadigárranna. Manan? Duwán badak yu?","Oo, gusto kong mokaon. Ngano? Naa moy nangka?","Oo, gusto kung kumain. Bakit? May langka ba kayo?","Yes, I like to eat it. Why? Do you have jackfruit?",,plural
FALSE,P487,cooking_eating,"Óó, duwán marapung matássan tut pabungan dé","Oo, naay daghang gulang sa among bukid","Oo, marami ng magulang sa aming bukid","Yes, there are many mature ones in our field",,
FALSE,P488,cooking_eating,"Atin malyag ka, mangé ki kani tagadtagad","Kon gusto nimo, mokuha ta unyang taudtaud","Kung gusto mo, kukuha tayo mayamaya","If you would like, we can get some after awhile",,
FALSE,P489,cooking_eating,"Óó, kani ka pángnga kég pamahaw","Oo, unya ug human mi mamahaw","Oo, mamaya pagkatapos naming mag-almusal","Yes, later after we finish breakfast",,
FALSE,P490,cooking_eating,Madiyù tô pabungan yu?,Layo ba ang inyong bukid?,Malayo ba ang bukid ninyo?,Is it far to your field?,,plural
FALSE,P491,cooking_eating,"Dì madiyù. Madani dád, ándà dunggù ka sábbad kilumitru","Dili layo. Duol lang, wala moabot ug usa ka kilometro","Hindi malayo. Malapit lang, wala pang isang kilometro","It's not far. It's just nearby, not even one kilometer",,
FALSE,P492,cooking_eating,"Na, panó kid?","Unya, molakaw na ta?","O, aalis na ba tayo?","Then, shall we go?",,
FALSE,P493,cooking_eating,"Óó, panó kid su ébô sékót ki pakólì, su duwán pa sadunan ta","Oo, molakaw na ta aron dali ta makabalik, kay naa pa tay adtoan","Oo, alis na tayo para makabalik tayo agad, dahil may lalakarin pa tayo","Yes, let's go so we can return soon, because we still have somewhere else to go",,
FALSE,P494,cooking_eating,Ágballusánna asta ágkatákkanganna,Gigutom ko ug giuhaw,Nagugutom ako at nauuhaw,I am hungry and thirsty,,
FALSE,P495,cooking_eating,Ágkan kak sáddà?,Mokaon kag isda?,Kumakain ka ba ng isda?,Do you eat fish?,,
FALSE,P496,cooking_eating,"Óó, ágkanna","Oo, mokaon ko","Oo, kumakain ako","Yes, I eat it",,
FALSE,P497,cooking_eating,Tignà nud tô kardiru,Itak-ang na ang kaldero,Isalang mo na ang kaldero,Put the pot on the fire,,
FALSE,P498,cooking_eating,Ginám kô ka kapi?,Moinom kamo ug kape?,Iinom kayo ng kape?,Do you drink coffee?,,plural
FALSE,P499,cooking_eating,Ándinné inámmán nu?,Unsa imong imnon?,Anong iinumin mo?,What will you drink?,,
FALSE,P500,cooking_eating,Agad ándin,Bisag unsa,Kahit ano,Whatever there is,,
FALSE,P501,cooking_eating,Minám ki pak ménit,Mainom sa ta ug init,Uminom muna tayo ng mainit,We will all have hot drinks,,
FALSE,P502,cooking_eating,Minitta pa,Moinit sa ko,Mag-iinit muna ako,I'll make hot drinks first,,
FALSE,P503,cooking_eating,"Óó, mangatta pô","Oo, mohulat sa ko","Oo, maghintay lang ako","Yes, I'll just wait",,
FALSE,P504,cooking_eating,Ágkadigárranna minám ka kapi,Gusto ko moinom ug kape,Gusto kung uminom ng kape,I like to drink coffee,,
FALSE,P505,cooking_eating,"Agad sakán pagsik ágkébágganna, sunnud dán gó ka magánnówé timpu","Bisag ako gusto pod nako, labi na kong tingtugnaw","Kahit ako gustong-gusto ko, lalo na pagmalamig ang panahon","I too like it very much, especially during cold weather",,
FALSE,P506,cooking_eating,"Magunawa ki kannê. Sakán agad ménit, ginámma. Kag tudugánna, ginámman ku ka kapi, ágkéwà puman tô tudug ku","Pareho diay ta. Ako maskig init, moinom ko. Kon katulgon ko, imnan nako'g kape, makuha man pod ang akong katulgon","Magkatulad pala tayo. Ako kahit mainit, umiinom rin. Kung inaantok ako umiinom ako ng kape, para maaalis ang antok ko","We are a lot alike. With me, even when it's hot, I can drink it. If I'm sleepy, I drink coffee to wake myself up",,
FALSE,P507,cooking_eating,Kuman kid,Mokaon na ta,Kumain na tayo,We will eat now,,
FALSE,P508,cooking_eating,"Kan kó madigár, yakóg kayyaan","Kaon mo ug maayo, ayaw mo ug kaulaw","Kumain kayong mabuti, huwag kayong mahihiya","Eat heartily, do not be bashful",,plural
FALSE,P509,cooking_eating,Ágnanam tuu tô iglutù,Lami kaayo ang giluto,Napakasarap ang pagkaing iyon,That meal was very delicious,,
FALSE,P510,cooking_eating,Ágnanam!,Lami!,Masarap!,It's delicious!,,
FALSE,P511,cooking_eating,Katig ka góméng,Maayo ka moluto,Mahusay ka talagang magluto,You really know how to cook,,
FALSE,P512,cooking_eating,Uman kó pa,Usab pa mo,Kumuha pa kayo,Have some more,,You pl
FALSE,P513,cooking_eating,"Diyad, ibássuggad","Di na ko, busog na ko","Ayaw ko na, busog na ako",No thank you. I'm full,,auto-split from slash values
FALSE,P514,cooking_eating,"Diyad, ibássuggad","Di na ko, busog na ko","Ayaw ko na, busog na ako",I'm satisfied,,auto-split from slash values
FALSE,P515,cooking_eating,Pabur dád bággéyiya ka wayig,Pabor lang tagai ko ug tubig,Pahingi nga po ng inumin,May I please have a drink of water,,
FALSE,P516,,Mga Nanam,Mga Lasa,Mga Lasa,Tastes,,
FALSE,P517,tastes,ágnanam,lami,masarap,delicious,,auto-split from slash values
FALSE,P518,tastes,ágnanam,lami,masarap,tasty,,auto-split from slash values
FALSE,P519,tastes,malas,halang,maanghang,piquant,,auto-split from slash values
FALSE,P520,tastes,maras,halang,maanghang,hot,,auto-split from slash values
FALSE,P521,tastes,malassám,aslum,maasim,sour,,
FALSE,P522,tastes,malumismis,tamis tamis,manamisnamis,not too sweet,,
FALSE,P523,tastes,mammis,tam-is,matamis,sweet,,
FALSE,P524,tastes,mappait,pait,mapait,bitter,,
FALSE,P525,tastes,marád,aplod,mapakla,tart,,auto-split from slash values
FALSE,P526,tastes,masipállád,aplod,mapakla,tart,,auto-split from slash values
FALSE,P527,tastes,masin,parat,maalat,salty,,
FALSE,P528,tastes,matabbang,tab-ang,matabang,bland,,auto-split from slash values
FALSE,P529,tastes,matabbang,tab-ang,matabang,tasteless,,auto-split from slash values
FALSE,P530,,Mga gulay asta ágkakan,Mga gulayon ug kan-onon,Mga gulay at pagkain,Vegetables and staples,,
FALSE,P531,vegetables_staples,ágkannán,kan-on,kanin,cooked rice,,
FALSE,P532,vegetables_staples,ámmé,humay,palay,rice grain,,
FALSE,P533,vegetables_staples,ángkág,gabi,gabi,kind of gabi,,auto-split from slash values
FALSE,P534,vegetables_staples,ángkág,gabi,gabi,taro,,auto-split from slash values
FALSE,P535,vegetables_staples,baisan,patani,patani,lima beans,,
FALSE,P536,vegetables_staples,basal,kalabasa,kalabasa,yellow squash,,
FALSE,P537,vegetables_staples,batad,mais,mais,corn,,
FALSE,P538,vegetables_staples,bawang,ahos,bawang,garlic,,
FALSE,P539,vegetables_staples,bággas,bugas,bigas,hulled rice,,
FALSE,P540,vegetables_staples,dabung,dabong,labong,bamboo shoots,,
FALSE,P541,vegetables_staples,gabi,bisul,gabi,taro,,
FALSE,P542,vegetables_staples,giniling,bugas mais,bigas na mais,corn grits,,
FALSE,P543,vegetables_staples,kalumatì,kamatis,kamatis,tomato,,
FALSE,P544,vegetables_staples,kamóssi,kamansi,rimas,breadfruit,,
FALSE,P545,vegetables_staples,karubang,karabansos,sigarilyas,wing beans,,
FALSE,P546,vegetables_staples,kasilà,kamote,kamote,yam,,auto-split from slash values
FALSE,P547,vegetables_staples,kasilà,kamote,kamote,camote,,auto-split from slash values
FALSE,P548,vegetables_staples,kasilà kayu,kamoteng kahoy,kamoteng-kahoy,cassava,,
FALSE,P549,vegetables_staples,katumbal,sili,sili,pepper,,
FALSE,P550,vegetables_staples,kulat,ligbos,kabute,mushroom,,
FALSE,P551,vegetables_staples,luya,luy-a,luya,ginger,,
